[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 5 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_5_20260226_000651.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 9105
[INFO] Peer socket listening on port 9205
[INFO] Fault socket listening on port 9305
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R5] state=follower leader=None term=0 cov=0.0%/0.0%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.6%/6.2%
[R5] state=follower leader=1 term=1 cov=2.1%/9.4%
[R5] state=follower leader=1 term=1 cov=2.6%/11.5%
[R5] state=follower leader=1 term=1 cov=2.6%/11.5%
[R5] state=follower leader=1 term=1 cov=2.6%/11.5%
[R5] state=follower leader=1 term=1 cov=2.6%/11.5%
[R5] state=follower leader=1 term=1 cov=2.6%/11.5%
[R5] state=follower leader=1 term=1 cov=2.6%/11.5%
[R5] state=follower leader=1 term=1 cov=2.6%/11.5%
[R5] state=follower leader=1 term=1 cov=3.1%/13.0%
[R5] state=follower leader=1 term=1 cov=3.6%/15.1%
[R5] state=follower leader=1 term=1 cov=3.6%/16.7%
[R5] state=follower leader=1 term=1 cov=3.6%/17.7%
[R5] state=follower leader=1 term=1 cov=3.6%/18.2%
[R5] state=follower leader=1 term=1 cov=3.6%/18.8%
[R5] state=follower leader=1 term=1 cov=3.6%/19.8%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.3%
[R5] state=follower leader=1 term=1 cov=3.6%/20.8%
[R5] state=follower leader=1 term=1 cov=3.6%/20.8%
[R5] state=follower leader=1 term=1 cov=3.6%/20.8%
[R5] state=follower leader=1 term=1 cov=3.6%/20.8%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.4%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
[R5] state=follower leader=1 term=1 cov=3.6%/21.9%
