[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 3 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_3_20260226_203432.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 9103
[INFO] Peer socket listening on port 9203
[INFO] Fault socket listening on port 9303
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R3] state=follower leader=None term=0 cov=0.0%/0.0%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=0.5%/2.1%
[R3] state=follower leader=1 term=1 cov=1.0%/5.7%
[R3] state=follower leader=1 term=1 cov=1.0%/7.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
[R3] state=follower leader=1 term=1 cov=1.6%/8.3%
