[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 4 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_4_20260226_205500.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 6104
[INFO] Peer socket listening on port 6204
[INFO] Fault socket listening on port 6304
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R4] state=follower leader=None term=0 cov=0.0%/0.0%
[R4] state=follower leader=3 term=1 cov=0.5%/2.1%
[R4] state=follower leader=3 term=1 cov=0.5%/2.1%
[R4] state=follower leader=3 term=1 cov=0.5%/2.1%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.0%/4.7%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=1.6%/7.3%
[R4] state=follower leader=3 term=1 cov=2.1%/9.4%
[R4] state=follower leader=3 term=1 cov=3.6%/15.1%
[R4] state=follower leader=3 term=1 cov=3.6%/15.6%
[R4] state=follower leader=3 term=1 cov=3.6%/15.6%
[R4] state=follower leader=3 term=1 cov=4.7%/20.8%
[R4] state=follower leader=3 term=1 cov=5.7%/29.2%
[R4] state=follower leader=3 term=1 cov=6.8%/35.4%
[R4] state=follower leader=3 term=1 cov=7.8%/39.1%
[R4] state=follower leader=3 term=1 cov=8.3%/40.6%
[R4] state=follower leader=3 term=1 cov=9.4%/41.7%
[R4] state=follower leader=3 term=1 cov=10.4%/42.7%
[R4] state=follower leader=3 term=1 cov=11.5%/43.8%
[R4] state=follower leader=3 term=1 cov=11.5%/43.8%
[R4] state=follower leader=3 term=1 cov=12.5%/44.3%
[R4] state=follower leader=3 term=1 cov=14.6%/45.3%
[R4] state=follower leader=3 term=1 cov=16.7%/46.9%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.2%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
[R4] state=follower leader=3 term=1 cov=17.7%/47.4%
