[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 5 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_5_20260226_000940.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 12105
[INFO] Peer socket listening on port 12205
[INFO] Fault socket listening on port 12305
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R5] state=follower leader=None term=0 cov=0.0%/0.0%
[R5] state=follower leader=1 term=1 cov=0.5%/0.5%
[R5] state=follower leader=1 term=1 cov=1.6%/7.3%
[R5] state=follower leader=1 term=1 cov=2.1%/10.4%
[R5] state=follower leader=1 term=1 cov=3.1%/15.6%
[R5] state=follower leader=1 term=1 cov=4.2%/19.3%
[R5] state=follower leader=1 term=1 cov=4.7%/22.9%
[R5] state=follower leader=1 term=1 cov=5.7%/27.1%
[R5] state=follower leader=1 term=1 cov=6.2%/30.7%
[R5] state=follower leader=1 term=1 cov=7.3%/34.9%
[R5] state=follower leader=1 term=1 cov=8.3%/39.1%
[R5] state=follower leader=1 term=1 cov=8.9%/42.2%
[R5] state=follower leader=1 term=1 cov=9.9%/46.4%
[R5] state=follower leader=1 term=1 cov=10.9%/51.0%
[R5] state=follower leader=1 term=1 cov=11.5%/53.1%
[R5] state=follower leader=1 term=1 cov=12.5%/55.7%
[R5] state=follower leader=1 term=1 cov=13.5%/60.9%
[R5] state=follower leader=1 term=1 cov=14.1%/63.5%
[R5] state=follower leader=1 term=1 cov=15.6%/66.7%
[R5] state=follower leader=1 term=1 cov=16.7%/69.8%
[R5] state=follower leader=1 term=1 cov=17.7%/71.9%
[R5] state=follower leader=1 term=1 cov=18.2%/74.5%
[R5] state=follower leader=1 term=1 cov=19.3%/76.6%
[R5] state=follower leader=1 term=1 cov=20.3%/78.6%
[R5] state=follower leader=1 term=1 cov=20.8%/80.2%
[R5] state=follower leader=1 term=1 cov=21.4%/81.8%
[R5] state=follower leader=1 term=1 cov=21.9%/82.8%
[R5] state=follower leader=1 term=1 cov=22.9%/83.9%
[R5] state=follower leader=1 term=1 cov=23.4%/84.4%
[R5] state=follower leader=1 term=1 cov=23.4%/85.4%
[R5] state=follower leader=1 term=1 cov=23.4%/86.5%
[R5] state=follower leader=1 term=1 cov=23.4%/87.0%
[R5] state=follower leader=1 term=1 cov=23.4%/87.5%
[R5] state=follower leader=1 term=1 cov=23.4%/87.5%
[R5] state=follower leader=1 term=1 cov=24.0%/88.0%
[R5] state=follower leader=1 term=1 cov=24.5%/89.1%
[R5] state=follower leader=1 term=1 cov=25.0%/90.1%
[R5] state=follower leader=1 term=1 cov=25.0%/91.1%
[R5] state=follower leader=1 term=1 cov=25.0%/92.2%
[R5] state=follower leader=1 term=1 cov=25.0%/92.7%
[R5] state=follower leader=1 term=1 cov=25.0%/93.8%
[R5] state=follower leader=1 term=1 cov=25.5%/94.8%
[R5] state=follower leader=1 term=1 cov=26.6%/95.8%
[R5] state=follower leader=1 term=1 cov=27.1%/96.4%
[R5] state=follower leader=1 term=1 cov=27.1%/96.9%
[R5] state=follower leader=1 term=1 cov=28.1%/97.9%
[R5] state=follower leader=1 term=1 cov=28.1%/99.0%
[R5] state=follower leader=1 term=1 cov=28.1%/99.0%
[R5] state=follower leader=1 term=1 cov=28.1%/99.5%
[R5] state=follower leader=1 term=1 cov=28.1%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
[R5] state=follower leader=1 term=1 cov=28.6%/99.5%
