[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 5 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_5_20260226_172614.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 25105
[INFO] Peer socket listening on port 25205
[INFO] Fault socket listening on port 25305
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R5] state=follower leader=None term=0 cov=0.0%/0.0%
[R5] state=follower leader=3 term=1 cov=0.5%/0.5%
[R5] state=follower leader=3 term=1 cov=3.1%/14.1%
[R5] state=follower leader=3 term=1 cov=5.7%/25.5%
[R5] state=follower leader=3 term=1 cov=7.8%/34.9%
[R5] state=follower leader=3 term=1 cov=9.9%/42.7%
[R5] state=follower leader=3 term=1 cov=13.0%/51.0%
[R5] state=follower leader=3 term=1 cov=14.6%/59.4%
[R5] state=follower leader=3 term=1 cov=16.1%/66.7%
[R5] state=follower leader=3 term=1 cov=19.3%/74.5%
[R5] state=follower leader=3 term=1 cov=22.9%/83.9%
[R5] state=follower leader=3 term=1 cov=25.5%/90.1%
[R5] state=follower leader=3 term=1 cov=28.6%/99.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
[R5] state=follower leader=3 term=1 cov=28.6%/100.0%
