[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 2 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_2_20260226_000651.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 12102
[INFO] Peer socket listening on port 12202
[INFO] Fault socket listening on port 12302
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R2] state=follower leader=None term=0 cov=0.0%/0.0%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=0.5%/2.1%
[R2] state=follower leader=4 term=2 cov=1.0%/4.7%
[R2] state=follower leader=4 term=2 cov=1.0%/5.2%
[R2] state=follower leader=4 term=2 cov=1.0%/5.2%
[R2] state=follower leader=4 term=2 cov=1.0%/5.2%
[R2] state=follower leader=4 term=2 cov=1.0%/5.2%
[R2] state=follower leader=4 term=2 cov=1.0%/5.2%
[R2] state=follower leader=4 term=2 cov=1.0%/5.2%
[R2] state=follower leader=4 term=2 cov=1.6%/6.2%
[R2] state=follower leader=4 term=2 cov=2.1%/8.9%
[R2] state=follower leader=4 term=2 cov=2.6%/12.0%
[R2] state=follower leader=4 term=2 cov=3.6%/16.1%
[R2] state=follower leader=4 term=2 cov=4.2%/18.8%
[R2] state=follower leader=4 term=2 cov=5.2%/22.9%
[R2] state=follower leader=4 term=2 cov=6.2%/26.6%
[R2] state=follower leader=4 term=2 cov=7.3%/30.7%
[R2] state=follower leader=4 term=2 cov=7.8%/33.3%
[R2] state=follower leader=4 term=2 cov=8.9%/37.0%
[R2] state=follower leader=4 term=2 cov=9.4%/40.1%
[R2] state=follower leader=4 term=2 cov=9.9%/42.7%
[R2] state=follower leader=4 term=2 cov=10.9%/46.9%
[R2] state=follower leader=4 term=2 cov=12.0%/51.0%
[R2] state=follower leader=4 term=2 cov=12.5%/53.6%
[R2] state=follower leader=4 term=2 cov=13.5%/57.8%
[R2] state=follower leader=4 term=2 cov=14.6%/61.5%
[R2] state=follower leader=4 term=2 cov=15.1%/63.5%
[R2] state=follower leader=4 term=2 cov=16.1%/67.7%
[R2] state=follower leader=4 term=2 cov=17.2%/71.9%
[R2] state=follower leader=4 term=2 cov=17.7%/74.0%
[R2] state=follower leader=4 term=2 cov=18.8%/76.0%
[R2] state=follower leader=4 term=2 cov=19.3%/78.1%
[R2] state=follower leader=4 term=2 cov=19.3%/78.6%
[R2] state=follower leader=4 term=2 cov=19.8%/80.2%
[R2] state=follower leader=4 term=2 cov=20.3%/82.3%
[R2] state=follower leader=4 term=2 cov=21.4%/83.9%
[R2] state=follower leader=4 term=2 cov=21.9%/85.4%
[R2] state=follower leader=4 term=2 cov=22.4%/85.9%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
[R2] state=follower leader=4 term=2 cov=22.4%/86.5%
