[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 5 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_5_20260226_172403.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 17105
[INFO] Peer socket listening on port 17205
[INFO] Fault socket listening on port 17305
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R5] state=follower leader=None term=0 cov=0.0%/0.0%
[R5] state=follower leader=1 term=1 cov=0.5%/2.6%
[R5] state=follower leader=1 term=1 cov=2.6%/12.0%
[R5] state=follower leader=1 term=1 cov=4.7%/24.0%
[R5] state=follower leader=1 term=1 cov=6.2%/30.2%
[R5] state=follower leader=1 term=1 cov=7.3%/35.9%
[R5] state=follower leader=1 term=1 cov=7.3%/35.9%
[R5] state=follower leader=1 term=1 cov=7.3%/35.9%
[R5] state=follower leader=1 term=1 cov=7.3%/35.9%
[R5] state=follower leader=1 term=1 cov=7.3%/35.9%
[R5] state=follower leader=1 term=1 cov=7.3%/35.9%
[R5] state=follower leader=1 term=1 cov=7.3%/35.9%
[R5] state=follower leader=1 term=1 cov=7.3%/35.9%
[R5] state=follower leader=1 term=1 cov=7.3%/35.9%
[R5] state=follower leader=1 term=1 cov=8.3%/40.1%
[R5] state=follower leader=1 term=1 cov=9.9%/46.9%
[R5] state=follower leader=1 term=1 cov=10.4%/50.0%
[R5] state=follower leader=1 term=1 cov=11.5%/53.1%
[R5] state=follower leader=1 term=1 cov=13.5%/62.5%
[R5] state=follower leader=1 term=1 cov=16.1%/68.2%
[R5] state=follower leader=1 term=1 cov=17.7%/74.5%
[R5] state=follower leader=1 term=1 cov=19.3%/78.1%
[R5] state=follower leader=1 term=1 cov=21.4%/82.3%
[R5] state=follower leader=1 term=1 cov=22.4%/85.9%
[R5] state=follower leader=1 term=1 cov=24.5%/88.5%
[R5] state=follower leader=1 term=1 cov=26.6%/93.2%
[R5] state=follower leader=1 term=1 cov=28.6%/98.4%
[R5] state=follower leader=1 term=1 cov=30.7%/99.5%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
[R5] state=follower leader=1 term=1 cov=30.7%/100.0%
