============================================================================================================================================
COMPREHENSIVE MULTIROOM RESULTS  |  Source: experiments/run_20260226_211000_multiroom_30trials_all
  270 total experiments  |  270 timelines loaded
============================================================================================================================================

========================================================================================================================
TABLE 1: FINAL COVERAGE & RELIABILITY
========================================================================================================================
Controller      Fault          N            Mean Cov     Min     Max  Median  Catastrophic   Perfect
------------------------------------------------------------------------------------------------------------------------
decentralized       2   2000    100.0%      40.5      49.5      96.6     100.2         -         -    0       0
decentralized       3   3000    100.0%      12.8      17.4      29.1      34.6         -         -    0       0
decentralized       4   4000    100.0%       9.7      16.0      25.7      27.8         -         -    0       0
decentralized       5   5000     97.4%      12.2      15.3      44.1      51.4         -         -    0       0
decentralized       6   6000    100.0%      48.7      54.5      60.8      63.9         -         -    0       0
decentralized       7   7000    100.0%      10.7      14.7      20.5      22.6         -         -    0       0
decentralized       8   8000    100.0%      13.5      19.1      24.3      27.0         -         -    0       0
decentralized       9   9000    100.0%      11.0      19.1      27.3      30.8         -         -    0       0
decentralized      10  10000    100.0%      10.5      14.7      21.8      23.7         -         -    0       0
decentralized      11  11000    100.0%      18.0      28.0      39.1      50.4         -         -    0       0
decentralized      12  12000     89.6%       8.3      29.7      39.1     NEVER         -         -    0       0
decentralized      13  13000    100.0%       9.5      16.0      19.7      22.4         -         -    0       0
decentralized      14  14000    100.0%     101.5     106.1     111.3     115.3         -         -    0       0
decentralized      15  15000     94.8%      11.2      20.4     110.4     116.2         -         -    0       0
decentralized      16  16000    100.0%      12.2      17.0      24.1      28.0         -         -    0       0
decentralized      17  17000    100.0%       9.1      14.5      22.8      25.3         -         -    0       0
decentralized      18  18000    100.0%       8.4      14.7      60.2      64.6         -         -    0       0
decentralized      19  19000    100.0%      15.1      19.5      23.9      26.3         -         -    0       0
decentralized      20  20000    100.0%      15.8      28.5      38.3      41.6         -         -    0       0
decentralized      21  21000    100.0%      10.3      16.8      23.7      28.5         -         -    0       0
decentralized      22  22000    100.0%      12.6      17.4      21.8      25.3         -         -    0       0
decentralized      23  23000    100.0%      12.0      17.4      29.2      36.7         -         -    0       0
decentralized      24  24000    100.0%      14.5      17.6      25.5      28.5         -         -    0       0
decentralized      25  25000    100.0%      12.2      20.1      28.3      31.6         -         -    0       0
decentralized      26  26000     94.3%      18.9      80.4     107.1     115.5         -         -    0       0
decentralized      27  27000    100.0%      22.4      38.7      50.3      55.9         -         -    0       0
decentralized      28  28000    100.0%      13.0      17.4      22.6      25.9         -         -    0       0
decentralized      29  29000    100.0%      10.7      13.5      19.3      22.2         -         -    0       0
decentralized      30  30000    100.0%      13.0      17.1      24.4      26.3         -         -    0       0


======================================================================================================================================================
TABLE 5: COVERAGE AT FIXED TIMESTAMPS (%, mean +/- std)
======================================================================================================================================================
Controller      Fault          N            @10s            @15s            @20s            @30s            @45s            @60s            @90s           @120s
------------------------------------------------------------------------------------------------------------------------------------------------------
reip            none          30   41.6 +/- 14.4   50.0 +/- 18.1   56.0 +/- 21.5   66.0 +/- 26.7   71.5 +/- 29.9   76.1 +/- 29.7   84.7 +/- 25.7   92.2 +/- 18.1
reip            bad_leader    30   40.6 +/- 13.8   45.6 +/- 16.2   52.1 +/- 19.6   66.3 +/- 26.4   75.6 +/- 27.5   81.7 +/- 22.9   88.0 +/- 19.5   90.7 +/- 16.3
reip            spin          30   39.9 +/- 15.0   48.0 +/- 16.8   54.6 +/- 19.7   63.9 +/- 25.4   71.5 +/- 25.6   77.7 +/- 26.1   83.0 +/- 22.5   88.8 +/- 18.2
raft            none          30   39.7 +/- 12.2   46.9 +/- 14.7   55.2 +/- 18.9   66.5 +/- 24.6   74.8 +/- 26.2   79.7 +/- 26.4   88.4 +/- 20.2   91.3 +/- 16.2
raft            bad_leader    30   39.0 +/- 12.6   46.3 +/- 13.8   52.2 +/- 17.0   63.0 +/- 23.4   64.5 +/- 23.3   65.0 +/- 23.5   65.9 +/- 23.8   66.5 +/- 24.0
raft            spin          30   40.6 +/- 13.3   45.9 +/- 15.8   51.3 +/- 18.8   61.2 +/- 22.3   69.8 +/- 23.9   74.7 +/- 23.3   81.4 +/- 22.5   85.3 +/- 20.9
decentralized   none          30   39.0 +/- 17.2   45.9 +/- 20.4   55.0 +/- 25.7   70.3 +/- 35.1   77.9 +/- 34.7   83.1 +/- 31.1   85.5 +/- 30.2   88.7 +/- 26.4
decentralized   bad_leader    30   40.9 +/- 14.3   47.8 +/- 17.1   57.6 +/- 21.8   74.5 +/- 30.9   84.8 +/- 25.4   89.1 +/- 22.9   92.6 +/- 17.3    97.9 +/- 7.4
decentralized   spin          30    45.1 +/- 9.2   53.2 +/- 11.9   61.5 +/- 15.6   77.3 +/- 22.3   88.9 +/- 23.0   89.8 +/- 22.7   93.8 +/- 14.3   95.6 +/- 11.6

==================================================================================================================================
TABLE 6: RESILIENCE GAP (coverage penalty from fault) — Mean and Median
==================================================================================================================================
Controller                    Clean   BadLeader  BadLdr Gap        Spin    Spin Gap
----------------------------------------------------------------------------------------------------------------------------------
reip                Mean      92.2%       90.7%      -1.5pp       88.8%      -3.3pp
                  Median     100.0%      100.0%      +0.0pp      100.0%      +0.0pp
raft                Mean      91.3%       66.5%     -24.8pp       85.3%      -6.0pp
                  Median     100.0%       68.8%     -31.2pp       97.7%      -2.3pp
decentralized       Mean      88.7%       97.9%      +9.2pp       95.6%      +6.9pp
                  Median     100.0%      100.0%      +0.0pp      100.0%      +0.0pp

====================================================================================================
TABLE 7: HEAD-TO-HEAD COMPARISONS
====================================================================================================

  REIP vs RAFT | none | Clean: coordination overhead
    Mean cov:     reip 92.2% vs raft 91.3% = +0.9pp
    Median cov:   reip 100.0% vs raft 100.0% = +0.0pp
    T->50%:       reip 24.5s vs raft 18.4s = +6.1s
    Catastrophic: reip 2/30 vs raft 3/30

  REIP vs RAFT | bad_leader | Bad Leader: trust vs no trust
    Mean cov:     reip 90.7% vs raft 66.5% = +24.2pp
    Median cov:   reip 100.0% vs raft 68.8% = +31.2pp
    T->50%:       reip 24.1s vs raft 14.0s = +10.1s
    Catastrophic: reip 4/30 vs raft 16/30

  REIP vs RAFT | spin | Motor fault: governance overhead
    Mean cov:     reip 88.8% vs raft 85.3% = +3.5pp
    Median cov:   reip 100.0% vs raft 97.7% = +2.3pp
    T->50%:       reip 21.0s vs raft 17.7s = +3.3s
    Catastrophic: reip 6/30 vs raft 5/30

  REIP vs DECENTRALIZED | none | Clean: leadership value
    Mean cov:     reip 92.2% vs decentralized 88.7% = +3.5pp
    Median cov:   reip 100.0% vs decentralized 100.0% = +0.0pp
    T->50%:       reip 24.5s vs decentralized 24.2s = +0.3s
    Catastrophic: reip 2/30 vs decentralized 5/30

  REIP vs DECENTRALIZED | bad_leader | Bad Leader: resilience
    Mean cov:     reip 90.7% vs decentralized 97.9% = -7.2pp
    Median cov:   reip 100.0% vs decentralized 100.0% = +0.0pp
    T->50%:       reip 24.1s vs decentralized 21.0s = +3.1s
    Catastrophic: reip 4/30 vs decentralized 1/30

  RAFT vs DECENTRALIZED | none | Clean: RAFT coordination
    Mean cov:     raft 91.3% vs decentralized 88.7% = +2.6pp
    Median cov:   raft 100.0% vs decentralized 100.0% = +0.0pp
    T->50%:       raft 18.4s vs decentralized 24.2s = -5.8s
    Catastrophic: raft 3/30 vs decentralized 5/30

========================================================================================================================
TABLE 8: PER-TRIAL FINAL COVERAGE -- ALL CONDITIONS (sorted)
========================================================================================================================
             reip none        :   9.4  66.7  76.0  77.1  82.3  83.3  85.4  88.0  97.4  99.5 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0  | mean=92.2 std=18.1
             reip bad_leader  :  34.4  56.2  65.6  69.8  70.3  79.2  83.9  85.9  88.0  94.3  95.8  97.9  99.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0  | mean=90.7 std=16.3
