[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 2 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_2_20260226_000903.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 18102
[INFO] Peer socket listening on port 18202
[INFO] Fault socket listening on port 18302
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R2] state=follower leader=None term=0 cov=0.0%/0.0%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=1.6%/6.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
[R2] state=follower leader=5 term=1 cov=1.6%/7.8%
