[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 5 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_5_20260226_163016.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 18105
[INFO] Peer socket listening on port 18205
[INFO] Fault socket listening on port 18305
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R5] state=follower leader=None term=0 cov=0.0%/0.0%
[R5] state=follower leader=2 term=1 cov=0.5%/2.6%
[R5] state=follower leader=2 term=1 cov=0.5%/2.6%
[R5] state=follower leader=2 term=1 cov=0.5%/2.6%
[R5] state=follower leader=2 term=1 cov=0.5%/2.6%
[R5] state=follower leader=2 term=1 cov=0.5%/2.6%
[R5] state=follower leader=2 term=1 cov=0.5%/2.6%
[R5] state=follower leader=2 term=1 cov=1.6%/9.4%
[R5] state=follower leader=2 term=1 cov=3.6%/18.2%
[R5] state=follower leader=2 term=1 cov=5.7%/28.6%
[R5] state=follower leader=2 term=1 cov=8.3%/38.5%
[R5] state=follower leader=2 term=1 cov=11.5%/47.9%
[R5] state=follower leader=2 term=1 cov=14.1%/56.2%
[R5] state=follower leader=2 term=1 cov=16.1%/65.6%
[R5] state=follower leader=2 term=1 cov=17.2%/67.7%
[R5] state=follower leader=2 term=1 cov=17.2%/67.7%
[R5] state=follower leader=2 term=1 cov=17.2%/67.7%
[R5] state=follower leader=2 term=1 cov=17.7%/69.8%
[R5] state=follower leader=2 term=1 cov=18.2%/72.9%
[R5] state=follower leader=2 term=1 cov=18.2%/74.5%
[R5] state=follower leader=2 term=1 cov=18.8%/77.6%
[R5] state=follower leader=2 term=1 cov=19.3%/79.7%
[R5] state=follower leader=2 term=1 cov=20.8%/85.4%
[R5] state=follower leader=2 term=1 cov=22.9%/91.7%
[R5] state=follower leader=2 term=1 cov=26.6%/96.9%
[R5] state=follower leader=2 term=1 cov=28.1%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
[R5] state=follower leader=2 term=1 cov=28.6%/100.0%
